,ID,hourtime,daytime,new_date,new_days,new_months,new_years,Type,real_fatal
0,2016.09.18.c,13,Afternoon,2016.09.18,18,Sep,2016,Unprovoked,NO
1,2016.09.18.b,11,Morning,2016.09.18,18,Sep,2016,Unprovoked,NO
2,2016.09.18.a,10,Morning,2016.09.18,18,Sep,2016,Unprovoked,NO
3,2016.09.17,NoDoc,NotDoc,2016.09.17,17,Sep,2016,Unprovoked,NO
4,2016.09.15,NoDoc,NotDoc,2016.09.15,15,Sep,2016,Unprovoked,NO
5,2016.09.15.R,NoDoc,NotDoc,2016.09.15,15,Sep,2016,Boat,NO
6,2016.09.11,15,Afternoon,2016.09.11,11,Sep,2016,Unprovoked,NO
7,2016.09.07,14,Afternoon,2016.09.07,07,Sep,2016,Unprovoked,NO
8,2016.09.06,15,Afternoon,2016.09.06,06,Sep,2016,Unprovoked,YES
9,2016.09.05.b,NoDoc,Afternoon,2016.09.05,05,Sep,2016,Unprovoked,NO
10,2016.09.05.a,NoDoc,Afternoon,2016.09.05,05,Sep,2016,Unprovoked,NO
11,2016.09.04,NoDoc,NotDoc,2016.09.04,04,Sep,2016,Unprovoked,NO
12,2016.09.01,NoDoc,NotDoc,2016.09.01,01,Sep,2016,Unprovoked,NO
13,2016.08.29.b,15,Afternoon,2016.08.29,29,Ago,2016,Unprovoked,NO
14,2016.08.29.a,14,Afternoon,2016.08.29,29,Ago,2016,Unprovoked,NO
15,2016.08.27,17,Sunset,2016.08.27,27,Ago,2016,Unprovoked,NO
16,2016.08.25,16,Afternoon,2016.08.25,25,Ago,2016,Unprovoked,NO
17,2016.08.07,NoDoc,NotDoc,2016.08.07,07,Ago,2016,Unprovoked,NO
18,2016.08.06,NoDoc,NotDoc,2016.08.06,06,Ago,2016,Unprovoked,NO
19,2016.08.04,NoDoc,NotDoc,2016.08.04,04,Ago,2016,Unprovoked,NO
20,2016.07.29,11,Morning,2016.07.29,29,Jul,2016,Unprovoked,NO
21,2016.07.28.R,NoDoc,NotDoc,2016.07.28,28,Jul,2016,Unprovoked,NO
22,2016.07.28,NoDoc,NotDoc,2016.07.28,28,Jul,2016,Boat,NO
23,2016.07.27,NoDoc,NotDoc,2016.07.27,27,Jul,2016,Provoked,NO
24,2016.07.26,12,Afternoon,2016.07.26,26,Jul,2016,Unprovoked,NO
25,2016.07.24,19,Sunset,2016.07.24,24,Jul,2016,Unprovoked,NO
26,2016.07.23.b,NoDoc,NotDoc,2016.07.23,23,Jul,2016,Unprovoked,NO
27,2016.07.23.a,NoDoc,NotDoc,2016.07.23,23,Jul,2016,Unprovoked,NO
28,2016.07.20,NoDoc,Afternoon,2016.07.20,20,Jul,2016,Provoked,NO
29,2016.07.17,NoDoc,NotDoc,2016.07.17,17,Jul,2016,Boat,NO
